"","d1.txt","d2.txt","d3.txt","speech1.txt","tdm.csv","Text_MR.R"
"lifted",0,1,0,0,1,0
"long",0,1,0,0,1,0
"looking",0,1,0,0,1,0
"lower",0,1,0,0,1,0
"mandate",0,1,0,0,1,0
"mansur",0,1,0,0,1,0
"matter",0,1,0,2,1,0
"maximum",0,1,1,0,1,0
"meanwhile",0,1,0,0,1,0
"mediation",0,2,0,0,1,0
"meet",0,1,1,0,1,0
"messages",0,1,0,0,1,0
"met",0,1,0,1,1,0
"middle",0,1,0,0,1,0
"mike",0,1,0,0,1,0
"military",0,2,2,6,1,0
"minister",0,4,0,0,1,0
"minister’s",0,1,0,0,1,0
"modified",0,1,0,0,1,0
"moment",0,1,0,0,1,0
"morgan",0,1,0,0,1,0
"morning",0,1,0,2,1,0
"mossadsourced",0,1,0,0,1,0
"move",0,1,0,0,1,0
"negotiate",0,1,0,3,1,0
"nervous",0,2,0,0,1,0
"normally",0,1,0,0,1,0
"number",0,1,2,6,1,0
"odds",0,1,0,0,1,0
"offer",0,2,0,0,1,0
"oil",0,4,1,0,1,0
"pakistan",0,1,0,0,1,0
"patrick",0,1,0,0,1,0
"piers",0,1,0,0,1,0
"plan",0,2,0,1,1,0
"plans",0,1,0,0,1,0
"precondition",0,1,0,0,1,0
"preconditions",0,1,0,0,1,0
"prepared",0,1,0,0,1,0
"presidential",0,1,0,0,1,0
"president’s",0,1,0,0,1,0
"prime",0,3,0,0,1,0
"prisoners",0,1,0,0,1,0
"privately",0,1,0,0,1,0
"probably",0,1,1,0,1,0
"prospect",0,1,0,0,1,0
"protecting",0,1,0,0,1,0
"proved",0,1,0,0,1,0
"pulled",0,1,0,0,1,0
"puppet",0,1,0,0,1,0
"pushed",0,1,0,0,1,0
"put",0,2,0,2,1,0
"putting",0,1,0,0,1,0
"raised",0,1,0,0,1,0
"ratcheting",0,1,0,0,1,0
"reach",0,2,0,0,1,0
"reached",0,1,0,0,1,0
"rebels",0,2,0,0,1,0
"reciprocated",0,1,0,0,1,0
"recognise",0,1,0,0,1,0
"region",0,1,0,0,1,0
"region”",0,1,0,0,1,0
"remain",0,1,0,0,1,0
"resumed",0,1,0,0,1,0
"revolution",0,1,0,0,1,0
"revolutionary",0,1,1,0,1,0
"risk",0,1,0,0,1,0
"riyadh",0,1,0,0,1,0
"rouhani",0,2,0,0,1,0
"said",0,6,4,4,1,0
"saudis",0,1,0,0,1,0
"saw",0,1,0,0,1,0
"scheduled",0,1,0,0,1,0
"secretary",0,1,0,0,1,0
"seeking",0,2,0,0,1,0
"sending",0,1,1,0,1,0
"set",0,1,0,0,1,0
"setting",0,2,0,0,1,0
"settlement",0,1,0,0,1,0
"shipping",0,3,0,0,1,0
"shot",0,1,0,0,1,0
"sides",0,1,0,0,1,0
"simply",0,1,0,0,1,0
"situation",0,1,0,0,1,0
"six",0,1,0,0,1,0
"sophisticated",0,1,0,0,1,0
"steps",0,2,0,0,1,0
"straits",0,1,0,0,1,0
"support",0,1,0,1,1,0
"surrounding",0,1,0,0,1,0
"sweeping",0,1,0,0,1,0
"take",0,2,0,3,1,0
"takes",0,1,0,0,1,0
"taking",0,2,0,1,1,0
"talk",0,2,2,0,1,0
"talks",0,12,0,0,1,0
"talk”",0,1,0,0,1,0
"tanker",0,1,0,0,1,0
"tankers",0,1,0,0,1,0
"tells",0,1,0,0,1,0
"temperature",0,1,0,0,1,0
"tension",0,1,0,0,1,0
"tensions",0,2,0,0,1,0
"terms",0,3,0,0,1,0
"territory",0,1,0,0,1,0
"threeday",0,1,0,0,1,0
"times",0,1,0,0,1,0
"told",0,1,1,2,1,0
"toll",0,1,0,0,1,0
"tried",0,1,0,0,1,0
"trip",0,1,0,0,1,0
"troops",0,1,0,0,1,0
"try",0,1,0,0,1,0
"tuesday",0,1,1,0,1,0
"twoday",0,1,0,0,1,0
"understand",0,1,0,2,1,1
"unviable",0,1,0,0,1,0
"urging",0,1,0,0,1,0
"visit",0,4,1,0,1,0
"waiting",0,1,0,0,1,0
"wants",0,1,0,1,1,0
"warning",0,1,0,0,1,0
"wed",0,2,0,0,1,0
"wednesday",0,1,1,0,1,0
"week",0,4,1,2,1,0
"welcomed",0,1,0,0,1,0
"whether",0,2,0,4,1,0
"willing",0,4,0,0,1,0
"wintour",0,1,0,0,1,0
"without",0,1,0,0,1,0
"yemen",0,2,0,0,1,0
"zarif",0,1,0,0,1,0
"–",0,2,0,0,1,0
"“almost",0,1,0,0,1,0
"“unfortunately",0,1,0,0,1,0
"“’d",0,1,0,0,1,0
"“’s",0,1,0,0,1,0
"accord",0,0,1,0,1,0
"advertisement",0,0,3,0,1,0
"agencies",0,0,1,0,1,0
"agencyâ",0,0,1,0,1,0
"agreed",0,0,1,0,1,0
"anniversary",0,0,1,0,1,0
"archrivals",0,0,1,0,1,0
"beating",0,0,1,0,1,0
"blacklisted",0,0,1,0,1,0
"bolstered",0,0,1,0,1,0
"broadcast",0,0,1,0,1,0
"bullying",0,0,1,0,1,0
"called",0,0,1,0,1,0
"came",0,0,1,3,1,0
"chance",0,0,1,0,1,0
"commitments",0,0,1,0,1,0
"confirmed",0,0,1,0,1,0
"continued",0,0,1,0,1,0
"corpsâ",0,0,1,0,1,0
"countrys",0,0,1,0,1,0
"dealâ",0,0,1,0,1,0
"death",0,0,1,0,1,0
"demands",0,0,1,0,1,0
"drums",0,0,1,0,1,0
"enemys",0,0,1,0,1,0
"escalated",0,0,1,0,1,0
"escalateâ",0,0,1,0,1,0
"event",0,0,1,0,1,0
"excessive",0,0,1,0,1,0
"extremely",0,0,1,0,1,0
"fractious",0,0,1,0,1,0
"freefallâ",0,0,1,0,1,0
"friction",0,0,1,0,1,0
"frictions",0,0,1,0,1,0
"grand",0,0,1,0,1,0
"guard",0,0,1,0,1,0
"gulf",0,0,1,0,1,0
"himâ",0,0,1,0,1,0
"hostile",0,0,1,0,1,0
"irans",0,0,2,0,1,0
"iransâ",0,0,1,0,1,0
"itv",0,0,1,0,1,0
"jazeera",0,0,2,0,1,0
"khameneiâ",0,0,1,0,1,0
"khomeini",0,0,1,0,1,0
"kingdom",0,0,1,0,1,0
"landmark",0,0,1,0,1,0
"lifting",0,0,1,0,1,0
"listening",0,0,1,0,1,0
"markâ",0,0,1,0,1,0
"maybe",0,0,1,1,1,0
"media",0,0,2,0,1,0
"moved",0,0,1,0,1,0
"nation",0,0,2,3,1,0
"news",0,0,1,1,1,0
"offensive",0,0,1,0,1,0
"office",0,0,1,0,1,0
"possibility",0,0,1,0,1,0
"post",0,0,1,0,1,0
"pressureâ",0,0,1,0,1,0
"programme",0,0,1,0,1,0
"prompted",0,0,1,0,1,0
"published",0,0,1,0,1,0
"pulling",0,0,1,0,1,0
"punitive",0,0,1,0,1,0
"quarterlyâ",0,0,1,0,1,0
"receive",0,0,1,0,1,0
"recent",0,0,2,0,1,0
"refused",0,0,2,0,1,0
"reimposed",0,0,1,0,1,0
"relations",0,0,1,0,1,0
"relief",0,0,1,0,1,0
"report",0,0,1,0,1,0
"republic",0,0,1,0,1,0
"resisting",0,0,2,0,1,0
"response",0,0,2,0,1,0
"returns",0,0,1,0,1,0
"rolled",0,0,2,0,1,0
"ruhollah",0,0,1,0,1,0
"rule",0,0,1,0,1,0
"rumble",0,0,1,0,1,0
"scale",0,0,1,0,1,0
"source",0,0,1,0,1,0
"speaking",0,0,1,0,1,0
"speech",0,0,1,1,1,0
"standing",0,0,1,0,1,0
"station",0,0,1,0,1,0
"supreme",0,0,1,0,1,0
"television",0,0,2,0,1,0
"theres",0,0,1,2,1,0
"threatened",0,0,1,0,1,0
"thâ",0,0,1,0,1,0
"time",0,0,1,6,1,0
"titfortat",0,0,1,0,1,0
"trumps",0,0,2,0,1,0
"unleashed",0,0,1,0,1,0
"unspecified",0,0,1,0,1,0
"viennabased",0,0,1,0,1,0
"washingtontehran",0,0,1,0,1,0
"weeks",0,0,1,1,1,0
"white",0,0,1,0,1,0
"withdraw",0,0,1,0,1,0
"words",0,0,1,0,1,1
"world",0,0,2,4,1,0
"zero",0,0,1,0,1,0
"â©",0,0,1,0,1,0
"ï»¿",0,0,1,0,1,0
"absolutely",0,0,0,1,1,0
"abuse",0,0,0,1,1,0
"actually",0,0,0,1,1,0
"add",0,0,0,3,1,0
"ahead",0,0,0,1,1,0
"alabama",0,0,0,1,1,0
"amazing",0,0,0,4,1,0
"amendment",0,0,0,4,1,0
"announced",0,0,0,1,1,0
"anymore",0,0,0,4,1,0
"anywhere",0,0,0,2,1,0
"applause",0,0,0,7,1,0
"arenas",0,0,0,1,1,0
"atlanta",0,0,0,1,1,0
"away",0,0,0,2,1,0
"baby",0,0,0,1,1,0
"backed",0,0,0,1,1,0
"beat",0,0,0,1,1,0
"beautiful",0,0,0,3,1,0
"beginning",0,0,0,1,1,0
"believe",0,0,0,1,1,0
"best",0,0,0,2,1,0
"better",0,0,0,2,1,0
"big",0,0,0,6,1,0
"boost",0,0,0,1,1,0
"border",0,0,0,2,1,0
"bottom",0,0,0,1,1,0
"bringing",0,0,0,3,1,0
"build",0,0,0,2,1,0
"bureaucrats",0,0,0,1,1,0
"buying",0,0,0,1,1,0
"cameras",0,0,0,1,1,0
"candidates",0,0,0,3,1,0
"cant",0,0,0,5,1,0
"care",0,0,0,3,1,0
"carl",0,0,0,1,1,0
"carolina",0,0,0,7,1,0
"cherishes",0,0,0,1,1,0
"children",0,0,0,2,1,0
"comfort",0,0,0,1,1,0
"comment",0,0,0,1,1,0
"common",0,0,0,2,1,0
"congratulate",0,0,0,2,1,0
"congratulation",0,0,0,1,1,0
"congressmen",0,0,0,1,1,0
"core",0,0,0,2,1,0
"cost",0,0,0,1,1,0
"couple",0,0,0,1,1,0
"cover",0,0,0,1,1,0
"crowds",0,0,0,1,1,0
"dallas",0,0,0,1,1,0
"dead",0,0,0,1,1,0
"deeply",0,0,0,1,1,0
"deficit",0,0,0,1,1,0
"denmark",0,0,0,1,1,0
"different",0,0,0,1,1,0
"doesnt",0,0,0,2,1,0
"dollar",0,0,0,1,1,0
"don",0,0,0,1,1,0
"done",0,0,0,1,1,0
"donors",0,0,0,1,1,0
"dont",0,0,0,8,1,0
"drop",0,0,0,1,1,0
"dropped",0,0,0,1,1,0
"early",0,0,0,1,1,0
"easy",0,0,0,3,1,0
"educate",0,0,0,1,1,0
"education",0,0,0,3,1,0
"eight",0,0,0,1,1,0
"endorse",0,0,0,2,1,0
"endorsements",0,0,0,1,1,0
"equal",0,0,0,1,1,0
"equipment",0,0,0,5,1,0
"erik",0,0,0,1,1,0
"eventually",0,0,0,1,1,0
"ever",0,0,0,5,1,0
"every",0,0,0,3,1,0
"everybody",0,0,0,3,1,0
"everything",0,0,0,1,1,0
"exciting",0,0,0,1,1,0
"exist",0,0,0,1,1,0
"expect",0,0,0,1,1,0
"expensive",0,0,0,1,1,0
"fair",0,0,0,1,1,0
"family",0,0,0,6,1,0
"father",0,0,0,1,1,0
"fathers",0,0,0,1,1,0
"feet",0,0,0,1,1,0
"fellas",0,0,0,1,1,0
"fifty",0,0,0,2,1,0
"fill",0,0,0,1,1,0
"financially",0,0,0,1,1,0
"finished",0,0,0,1,1,0
"folks",0,0,0,4,1,0
"fool",0,0,0,1,1,0
"forget",0,0,0,6,1,0
"generals",0,0,0,1,1,0
"geniuses",0,0,0,2,1,0
"getting",0,0,0,4,1,0
"give",0,0,0,1,1,0
"gone",0,0,0,1,1,0
"gonna",0,0,0,1,1,0
"got",0,0,0,2,1,0
"gotten",0,0,0,1,1,0
"governor",0,0,0,3,1,0
"grateful",0,0,0,1,1,0
"great",0,0,0,14,1,0
"greater",0,0,0,2,1,0
"greatest",0,0,0,4,1,0
"guess",0,0,0,1,1,0
"hack",0,0,0,1,1,0
"hampshire",0,0,0,1,1,0
"happen",0,0,0,4,1,0
"happened",0,0,0,1,1,0
"hard",0,0,0,2,1,0
"health",0,0,0,1,1,0
"heap",0,0,0,1,1,0
"hell",0,0,0,1,1,0
"helped",0,0,0,1,1,0
"henry",0,0,0,1,1,0
"hes",0,0,0,2,1,0
"hispanics",0,0,0,3,1,0
"honestly",0,0,0,1,1,0
"hospital",0,0,0,1,1,0
"hundred",0,0,0,1,1,0
"husband",0,0,0,1,1,0
"icahn",0,0,0,1,1,0
"ill",0,0,0,1,1,0
"incompetent",0,0,0,1,1,0
"increases",0,0,0,1,1,0
"incredible",0,0,0,9,1,0
"incredibly",0,0,0,3,1,0
"insisted",0,0,0,1,1,0
"isis",0,0,0,1,1,0
"ivanka",0,0,0,3,1,0
"ive",0,0,0,4,1,0
"job",0,0,0,1,1,0
"jobs",0,0,0,3,1,0
"killing",0,0,0,2,1,0
"kind",0,0,0,1,1,0
"know",0,0,0,10,1,0
"leading",0,0,0,1,1,0
"lets",0,0,0,5,1,0
"level",0,0,0,1,1,0
"lieutenant",0,0,0,2,1,0
"literally",0,0,0,1,1,0
"lobbyists",0,0,0,1,1,0
"locally",0,0,0,1,1,0
"look",0,0,0,4,1,0
"lora",0,0,0,1,1,0
"lot",0,0,0,2,1,0
"loves",0,0,0,3,1,0
"making",0,0,0,2,1,0
"marco",0,0,0,1,1,0
"mean",0,0,0,2,1,0
"mess",0,0,0,1,1,0
"message",0,0,0,1,1,0
"mexico",0,0,0,9,1,0
"milania",0,0,0,2,1,0
"millions",0,0,0,3,1,0
"minds",0,0,0,1,1,0
"minute",0,0,0,1,1,0
"mobile",0,0,0,1,1,0
"momentum",0,0,0,1,1,0
"movement",0,0,0,3,1,0
"music",0,0,0,6,1,0
"nasty",0,0,0,1,1,0
"nevada",0,0,0,7,1,0
"never",0,0,0,5,1,0
"nice",0,0,0,2,1,0
"night",0,0,0,1,1,0
"nobody",0,0,0,1,1,0
"norway",0,0,0,1,1,0
"note",0,0,0,1,1,0
"nothing",0,0,0,2,1,0
"obamacare",0,0,0,3,1,0
"okay",0,0,0,2,1,0
"oklahoma",0,0,0,1,1,0
"others",0,0,0,1,1,0
"overall",0,0,0,1,1,0
"parents",0,0,0,1,1,0
"particular",0,0,0,2,1,0
"pay",0,0,0,5,1,0
"paying",0,0,0,1,1,0
"people",0,0,0,24,1,0
"percent",0,0,0,2,1,0
"police",0,0,0,3,1,0
"politicians",0,0,0,2,1,0
"poll",0,0,0,1,1,0
"potential",0,0,0,1,1,0
"powerful",0,0,0,1,1,0
"presidents",0,0,0,1,1,0
"process",0,0,0,1,1,0
"properly",0,0,0,1,1,0
"protect",0,0,0,1,1,0
"proud",0,0,0,1,1,0
"pundits",0,0,0,3,1,0
"pupal",0,0,0,1,1,0
"pupil",0,0,0,1,1,0
"quite",0,0,0,1,1,0
"ranked",0,0,0,1,1,0
"ready",0,0,0,1,1,0
"really",0,0,0,5,1,0
"reason",0,0,0,1,1,0
"recently",0,0,0,1,1,0
"remember",0,0,0,1,1,0
"repealed",0,0,0,1,1,0
"replaced",0,0,0,1,1,0
"representing",0,0,0,1,1,0
"resonates",0,0,0,1,1,0
"rid",0,0,0,2,1,0
"right",0,0,0,10,1,0
"rip",0,0,0,1,1,0
"room",0,0,0,2,1,0
"rooms",0,0,0,1,1,0
"running",0,0,0,1,1,0
"sasa",0,0,0,1,1,0
"say",0,0,0,8,1,0
"saying",0,0,0,1,1,0
"scores",0,0,0,1,1,0
"sec",0,0,0,2,1,0
"seen",0,0,0,1,1,0
"selffunding",0,0,0,1,1,0
"sells",0,0,0,1,1,0
"senators",0,0,0,1,1,0
"send",0,0,0,1,1,0
"sent",0,0,0,1,1,0
"single",0,0,0,1,1,0
"smaller",0,0,0,1,1,0
"soldiers",0,0,0,1,1,0
"south",0,0,0,7,1,0
"speeches",0,0,0,2,1,0
"spend",0,0,0,2,1,0
"stops",0,0,0,1,1,0
"story",0,0,0,1,1,0
"strong",0,0,0,1,1,0
"sudden",0,0,0,1,1,0
"sweden",0,0,0,1,1,0
"taller",0,0,0,1,1,0
"teachers",0,0,0,1,1,0
"ted",0,0,0,1,1,0
"tell",0,0,0,2,1,0
"telling",0,0,0,1,1,0
"terminate",0,0,0,1,1,0
"terribly",0,0,0,1,1,0
"terrific",0,0,0,2,1,0
"texas",0,0,0,1,1,0
"thanking",0,0,0,1,1,0
"thats",0,0,0,7,1,0
"theft",0,0,0,1,1,0
"theme",0,0,0,5,1,0
"theyre",0,0,0,8,1,0
"theyve",0,0,0,4,1,0
"thing",0,0,0,2,1,0
"think",0,0,0,5,1,0
"thousands",0,0,0,3,1,0
"tiffany",0,0,0,1,1,0
"together",0,0,0,3,1,0
"tomorrow",0,0,0,3,1,0
"tonight",0,0,0,1,1,0
"trapp",0,0,0,1,1,0
"travel",0,0,0,1,1,0
"treated",0,0,0,2,1,0
"twice",0,0,0,1,1,0
"unbelievable",0,0,0,1,1,0
"upstairs",0,0,0,1,1,0
"vanessa",0,0,0,1,1,0
"veterans",0,0,0,1,1,0
"vets",0,0,0,2,1,0
"vicious",0,0,0,1,1,0
"vietnam",0,0,0,1,1,0
"volunteers",0,0,0,4,1,0
"votes",0,0,0,1,1,0
"wall",0,0,0,9,1,0
"walls",0,0,0,1,1,0
"watching",0,0,0,4,1,0
"went",0,0,0,2,1,0
"weve",0,0,0,2,1,0
"whatever",0,0,0,1,1,0
"whats",0,0,0,2,1,0
"whole",0,0,0,1,1,0
"whos",0,0,0,1,1,0
"win",0,0,0,6,1,0
"winning",0,0,0,1,1,0
"women",0,0,0,1,1,0
"wonderful",0,0,0,2,1,0
"word",0,0,0,1,1,0
"work",0,0,0,1,1,0
"worker",0,0,0,1,1,0
"working",0,0,0,3,1,0
"worry",0,0,0,1,1,0
"wrong",0,0,0,1,1,0
"yes",0,0,0,1,1,0
"youre",0,0,0,2,1,0
"abatement",0,0,0,0,1,0
"academy",0,0,0,0,1,0
"accomplish",0,0,0,0,1,0
"actively",0,0,0,0,1,0
"acumen",0,0,0,0,1,0
"admirals",0,0,0,0,1,0
"admit",0,0,0,0,1,0
"ads",0,0,0,0,1,0
"adventure",0,0,0,0,1,0
"aesxword",0,0,0,0,1,1
"africanamerican",0,0,0,0,1,0
"afternoon",0,0,0,0,1,0
"airconditioned",0,0,0,0,1,0
"airplane",0,0,0,0,1,0
"albany",0,0,0,0,1,0
"alderaan",0,0,0,0,1,0
"aliens",0,0,0,0,1,0
"align",0,0,0,0,1,1
"allegra",0,0,0,0,1,0
"allowed",0,0,0,0,1,0
"allows",0,0,0,0,1,0
"along",0,0,0,0,1,0
"alternatives",0,0,0,0,1,0
"americans",0,0,0,0,1,0
"angan",0,0,0,0,1,0
"angry",0,0,0,0,1,0
"animal",0,0,0,0,1,0
"announcing",0,0,0,0,1,0
"anonymous",0,0,0,0,1,0
"anybody",0,0,0,0,1,0
"anyones",0,0,0,0,1,0
"anything",0,0,0,0,1,0
"anyway",0,0,0,0,1,0
"apart",0,0,0,0,1,0
"apartment",0,0,0,0,1,0
"apologize",0,0,0,0,1,0
"apply",0,0,0,0,1,0
"appoint",0,0,0,0,1,0
"appreciate",0,0,0,0,1,0
"approach",0,0,0,0,1,0
"approval",0,0,0,0,1,0
"approved",0,0,0,0,1,0
"arena",0,0,0,0,1,0
"arm",0,0,0,0,1,0
"arpaio",0,0,0,0,1,0
"asap",0,0,0,0,1,0
"asdataframecbinddwordasnumericddoc",0,0,0,0,1,1
"asdataframew",0,0,0,0,1,2
"ash",0,0,0,0,1,0
"ask",0,0,0,0,1,0
"asked",0,0,0,0,1,0
"asking",0,0,0,0,1,0
"asleep",0,0,0,0,1,0
"asmatrixtdm",0,0,0,0,1,1
"assassination",0,0,0,0,1,0
"assume",0,0,0,0,1,0
"asylum",0,0,0,0,1,0
"attorney",0,0,0,0,1,0
"auburn",0,0,0,0,1,0
"audience",0,0,0,0,1,0
"auto",0,0,0,0,1,0
"automobile",0,0,0,0,1,0
"automotive",0,0,0,0,1,0
"award",0,0,0,0,1,0
"awards",0,0,0,0,1,0
"badly",0,0,0,0,1,0
"ball",0,0,0,0,1,0
"ballot",0,0,0,0,1,0
"banks",0,0,0,0,1,0
"baraka",0,0,0,0,1,0
"baseball",0,0,0,0,1,0
"based",0,0,0,0,1,0
"basisres",0,0,0,0,1,1
"beads",0,0,0,0,1,0
"bears",0,0,0,0,1,0
"became",0,0,0,0,1,0
"become",0,0,0,0,1,0
"bed",0,0,0,0,1,0
"beds",0,0,0,0,1,0
"believes",0,0,0,0,1,0
"bell",0,0,0,0,1,0
"bella",0,0,0,0,1,0
"ben",0,0,0,0,1,0
"benarjee",0,0,0,0,1,0
"bent",0,0,0,0,1,0
"bernie",0,0,0,0,1,0
"bernies",0,0,0,0,1,0
"bet",0,0,0,0,1,0
"bethpage",0,0,0,0,1,0
"beyond",0,0,0,0,1,0
"bible",0,0,0,0,1,0
"bigger",0,0,0,0,1,0
"biggest",0,0,0,0,1,0
"bill",0,0,0,0,1,0
"billy",0,0,0,0,1,0
"bird",0,0,0,0,1,0
"birdie",0,0,0,0,1,0
"birthday",0,0,0,0,1,0
"bit",0,0,0,0,1,0
"bless",0,0,0,0,1,0
"blessed",0,0,0,0,1,0
"board",0,0,0,0,1,0
"boars",0,0,0,0,1,0
"boeing",0,0,0,0,1,0
"bomb",0,0,0,0,1,0
"books",0,0,0,0,1,0
"booth",0,0,0,0,1,0
"borders",0,0,0,0,1,0
"boring",0,0,0,0,1,0
"bought",0,0,0,0,1,0
"bowtique",0,0,0,0,1,0
"box",0,0,0,0,1,0
"boxes",0,0,0,0,1,0
"boy",0,0,0,0,1,0
"brady",0,0,0,0,1,0
"brain",0,0,0,0,1,0
"branch",0,0,0,0,1,0
"bread",0,0,0,0,1,0
"bridge",0,0,0,0,1,0
"bridgeport",0,0,0,0,1,0
"bridgewater",0,0,0,0,1,0
"bright",0,0,0,0,1,0
"brilliant",0,0,0,0,1,0
"broken",0,0,0,0,1,0
"brother",0,0,0,0,1,0
"brought",0,0,0,0,1,0
"building",0,0,0,0,1,0
"buildings",0,0,0,0,1,0
"builds",0,0,0,0,1,0
"bunch",0,0,0,0,1,0
"bunnies",0,0,0,0,1,0
"burning",0,0,0,0,1,0
"bush",0,0,0,0,1,0
"businessman",0,0,0,0,1,0
"busy",0,0,0,0,1,0
"cable",0,0,0,0,1,0
"cages",0,0,0,0,1,0
"california",0,0,0,0,1,0
"call",0,0,0,0,1,0
"cancel",0,0,0,0,1,0
"candidate",0,0,0,0,1,0
"candy",0,0,0,0,1,0
"cared",0,0,0,0,1,0
"career",0,0,0,0,1,0
"carson",0,0,0,0,1,0
"carsons",0,0,0,0,1,0
"cartel",0,0,0,0,1,0
"cases",0,0,0,0,1,0
"casing",0,0,0,0,1,0
"cast",0,0,0,0,1,0
"castile",0,0,0,0,1,0
"catch",0,0,0,0,1,0
"category",0,0,0,0,1,0
"caught",0,0,0,0,1,0
"caused",0,0,0,0,1,0
"cdocdocdoctotalword",0,0,0,0,1,0
"cdocdocdocword",0,0,0,0,1,0
"cdoctotalword",0,0,0,0,1,1
"cdocword",0,0,0,0,1,1
"cells",0,0,0,0,1,0
"centers",0,0,0,0,1,0
"certainly",0,0,0,0,1,0
"chained",0,0,0,0,1,0
"change",0,0,0,0,1,0
"chapter",0,0,0,0,1,0
"characters",0,0,0,0,1,0
"charlie",0,0,0,0,1,0
"check",0,0,0,0,1,0
"chicago",0,0,0,0,1,0
"child",0,0,0,0,1,0
"chinese",0,0,0,0,1,0
"choice",0,0,0,0,1,0
"chopping",0,0,0,0,1,0
"chris",0,0,0,0,1,0
"christy",0,0,0,0,1,0
"chrysler",0,0,0,0,1,0
"chuck",0,0,0,0,1,0
"citizen",0,0,0,0,1,0
"citizens",0,0,0,0,1,0
"city",0,0,0,0,1,0
"class",0,0,0,0,1,0
"clinton",0,0,0,0,1,0
"clintons",0,0,0,0,1,0
"closing",0,0,0,0,1,0
"clue",0,0,0,0,1,0
"cname",0,0,0,0,1,1
"coffee",0,0,0,0,1,0
"college",0,0,0,0,1,0
"colnamesdf",0,0,0,0,1,2
"colnameswordmatrix",0,0,0,0,1,1
"colorgrey",0,0,0,0,1,1
"comes",0,0,0,0,1,0
"command",0,0,0,0,1,0
"committed",0,0,0,0,1,0
"communication",0,0,0,0,1,0
"communities",0,0,0,0,1,0
"compilation",0,0,0,0,1,0
"complete",0,0,0,0,1,0
"completely",0,0,0,0,1,0
"concept",0,0,0,0,1,0
"condition",0,0,0,0,1,0
"condos",0,0,0,0,1,0
"connect",0,0,0,0,1,0
"connecticut",0,0,0,0,1,0
"consequences",0,0,0,0,1,0
"consider",0,0,0,0,1,0
"constitution",0,0,0,0,1,0
"construction",0,0,0,0,1,0
"consulting",0,0,0,0,1,0
"contenttransformerfunctionx",0,0,0,0,1,1
"contenttransformertolower",0,0,0,0,1,1
"contract",0,0,0,0,1,0
"contras",0,0,0,0,1,0
"control",0,0,0,0,1,0
"controlled",0,0,0,0,1,0
"convention",0,0,0,0,1,0
"conversations",0,0,0,0,1,0
"convert",0,0,0,0,1,1
"coordflip",0,0,0,0,1,1
"cope",0,0,0,0,1,0
"corner",0,0,0,0,1,0
"corpus",0,0,0,0,1,1
"corpusdirsourcecname",0,0,0,0,1,1
"corrected",0,0,0,0,1,0
"corrupt",0,0,0,0,1,0
"corruption",0,0,0,0,1,0
"couldnt",0,0,0,0,1,0
"county",0,0,0,0,1,0
"course",0,0,0,0,1,0
"court",0,0,0,0,1,0
"cousin",0,0,0,0,1,0
"covered",0,0,0,0,1,0
"crack",0,0,0,0,1,0
"crazy",0,0,0,0,1,0
"creation",0,0,0,0,1,0
"cried",0,0,0,0,1,0
"crooked",0,0,0,0,1,0
"crossroads",0,0,0,0,1,0
"crowd",0,0,0,0,1,0
"cruise",0,0,0,0,1,0
"cruises",0,0,0,0,1,0
"cruising",0,0,0,0,1,0
"crushed",0,0,0,0,1,0
"cruz",0,0,0,0,1,0
"csv",0,0,0,0,1,1
"cup",0,0,0,0,1,0
"currency",0,0,0,0,1,0
"cuz",0,0,0,0,1,0
"cwordfrequency",0,0,0,0,1,1
"dakota",0,0,0,0,1,0
"damn",0,0,0,0,1,0
"dangerous",0,0,0,0,1,0
"dark",0,0,0,0,1,0
"darling",0,0,0,0,1,0
"daughter",0,0,0,0,1,0
"david",0,0,0,0,1,0
"dealers",0,0,0,0,1,0
"dealing",0,0,0,0,1,0
"deals",0,0,0,0,1,0
"debated",0,0,0,0,1,0
"debater",0,0,0,0,1,0
"debates",0,0,0,0,1,0
"debt",0,0,0,0,1,0
"decided",0,0,0,0,1,0
"decimated",0,0,0,0,1,0
"declined",0,0,0,0,1,0
"deductibles",0,0,0,0,1,0
"defend",0,0,0,0,1,0
"delaware",0,0,0,0,1,0
"delegate",0,0,0,0,1,0
"delegates",0,0,0,0,1,0
"delete",0,0,0,0,1,0
"deliver",0,0,0,0,1,0
"delphi",0,0,0,0,1,0
"demeanor",0,0,0,0,1,0
"depends",0,0,0,0,1,0
"depleted",0,0,0,0,1,0
"deport",0,0,0,0,1,0
"deported",0,0,0,0,1,0
"desktop",0,0,0,0,1,3
"destabilize",0,0,0,0,1,0
"destroy",0,0,0,0,1,0
"detectors",0,0,0,0,1,0
"detroit",0,0,0,0,1,0
"dforderdftotal",0,0,0,0,1,1
"dftotal",0,0,0,0,1,1
"dfword",0,0,0,0,1,1
"dfwordorderdffrequency",0,0,0,0,1,1
"dfwordrownamesdf",0,0,0,0,1,1
"diamond",0,0,0,0,1,0
"dice",0,0,0,0,1,0
"didnt",0,0,0,0,1,0
"die",0,0,0,0,1,0
"difficult",0,0,0,0,1,0
"dimm",0,0,0,0,1,1
"dimw",0,0,0,0,1,1
"dining",0,0,0,0,1,0
"dinner",0,0,0,0,1,0
"dircname",0,0,0,0,1,1
"direction",0,0,0,0,1,0
"directly",0,0,0,0,1,0
"dirty",0,0,0,0,1,0
"dis",0,0,0,0,1,0
